exec_model,kv_dtype_bytes,top_k,kv_rank_scale,hidden_scale,cache_len,ai_hbm,ai_total,t_est_ms,mfu_est,regime
naive,1,8,1.0,1.25,4096,26.5503021920173,26.510798383290354,9.154806052380078,0.0643968926334932,hbm-bound
naive,1,8,1.0,1.25,8192,31.200952193287264,31.1562191688108,9.501273039046744,0.07567689263657346,hbm-bound
naive,1,8,1.0,1.25,16384,39.55389200065486,39.501032833791655,10.194207012380076,0.09593667589850598,hbm-bound
naive,1,8,1.5,0.75,2048,22.557850606383813,22.520028680915658,4.873510051923494,0.05471333143539277,hbm-bound
naive,1,8,1.5,0.75,4096,25.291207228152736,25.250735710711773,5.1067089852568275,0.061342998835337614,hbm-bound
naive,1,8,1.5,0.75,8192,30.07167935101716,30.027579257183135,5.573106851923494,0.07293787816315432,hbm-bound
naive,1,8,1.5,0.75,16384,37.57639668229821,37.52918188795411,6.505902585256828,0.091140325454791,hbm-bound
naive,1,8,1.5,1.0,2048,23.327657752083134,23.292092800028215,7.147292933789917,0.05658047357756394,hbm-bound
naive,1,8,1.5,1.0,4096,26.06260371753637,26.0241227404776,7.38049186712325,0.06321399587881484,hbm-bound
naive,1,8,1.5,1.0,8192,31.04482231276061,31.001705828693137,7.846889733789915,0.07529820469997521,hbm-bound
naive,1,8,1.5,1.0,16384,39.42125537747065,39.37231500261546,8.77968546712325,0.09561497009189447,hbm-bound
naive,1,8,1.5,1.25,2048,23.87390509606852,23.840666780900527,9.78463674571341,0.057905378706987816,hbm-bound
naive,1,8,1.5,1.25,4096,26.515610434922092,26.479552400671786,10.017835679046744,0.0643127489073401,hbm-bound
naive,1,8,1.5,1.25,8192,31.44646723378885,31.405603714127768,10.48423354571341,0.07627238136543026,hbm-bound
naive,1,8,1.5,1.25,16384,40.09959616262733,40.05174047184589,11.417029279046744,0.09726026355766103,hbm-bound
naive,2,2,0.5,0.75,2048,14.581513797662835,14.572850445045919,3.442033449781092,0.03536698647235048,hbm-bound
naive,2,2,0.5,0.75,4096,16.540831131126605,16.531474321643877,3.6152669431144253,0.04011924680616862,hbm-bound
naive,2,2,0.5,0.75,8192,19.94541908178226,19.935122568707932,3.961733929781092,0.048376963917410226,hbm-bound
naive,2,2,0.5,0.75,16384,25.234086084081383,25.222997794201053,4.654667903114426,0.06120445336209734,hbm-bound
naive,2,2,0.5,1.0,2048,15.073313473356352,15.066278890946679,5.8433646277589775,0.03655983055690273,hbm-bound
naive,2,2,0.5,1.0,4096,17.478706775844035,17.470784376928247,6.016598121092311,0.04239403361498301,hbm-bound
naive,2,2,0.5,1.0,8192,21.89657454918044,21.887189880489572,6.363065107758978,0.0531094279110996,hbm-bound
naive,2,2,0.5,1.0,16384,29.43074076400236,29.419365274614734,7.055999081092311,0.07138330250996025,hbm-bound
naive,2,2,0.5,1.25,2048,15.341313853188556,15.335437854776854,8.900611197540071,0.03720985674345885,hbm-bound
naive,2,2,0.5,1.25,4096,17.99017117453961,17.983412118067207,9.073844690873402,0.0436345738442598,hbm-bound
naive,2,2,0.5,1.25,8192,22.99562108790378,22.98729908248884,9.42031167754007,0.055775129470408365,hbm-bound
naive,2,2,0.5,1.25,16384,31.97763866954726,31.966858769709784,10.113245650873404,0.0775607203708069,hbm-bound
naive,2,2,1.0,0.75,2048,15.10195764007713,15.094251176949308,4.007864569781092,0.03662930604970703,hbm-bound
naive,2,2,1.0,0.75,4096,17.051551526387595,17.04344300740743,4.301028943114425,0.04135798247936354,hbm-bound
naive,2,2,1.0,0.75,8192,20.249070005030198,20.240595667953095,4.8873576897810915,0.04911345933509093,hbm-bound
naive,2,2,1.0,0.75,16384,24.787876957562343,24.779509845815134,6.060015183114426,0.060122187668670654,hbm-bound
naive,2,2,1.0,1.0,2048,14.770021329025877,14.763266922704723,5.963354067758978,0.035824205345792934,hbm-bound
naive,2,2,1.0,1.0,4096,16.808446316719657,16.8011197450082,6.256518441092312,0.04076833871665202,hbm-bound
naive,2,2,1.0,1.0,8192,20.36130950616237,20.353194459021502,6.842847187758979,0.0493856925869527,hbm-bound
naive,2,2,1.0,1.0,16384,25.907698647662368,25.898883177674808,8.015504681092311,0.0628382786805353,hbm-bound
naive,2,2,1.0,1.25,2048,15.13724810057695,15.131527355034038,9.020600637540069,0.03671490191145497,hbm-bound
naive,2,2,1.0,1.25,4096,17.52674874333039,17.52033336299479,9.313765010873404,0.042510557841326874,hbm-bound
naive,2,2,1.0,1.25,8192,21.88119862013235,21.873663545820566,9.900093757540072,0.05307213409632909,hbm-bound
naive,2,2,1.0,1.25,16384,29.20662695953644,29.197634107705415,11.072751250873404,0.0708397217815942,hbm-bound
