exec_model,kv_dtype_bytes,top_k,kv_rank_scale,hidden_scale,cache_len,ai_hbm,ai_total,t_est_ms,mfu_est,regime
naive,1,8,1.5,1.0,8192,6.794658732793463,6.794658732793463,35.852469869841535,0.016480223303389906,hbm-bound
naive,1,8,1.5,1.0,16384,9.40882761774762,9.40882761774762,36.78526560317487,0.02282080473228327,hbm-bound
naive,1,8,1.5,1.25,2048,4.362772672286611,4.362772672286611,53.54335570829407,0.010581762924191879,hbm-bound
naive,1,8,1.5,1.25,4096,4.939495102221524,4.939495102221524,53.7765546416274,0.01198058438133568,hbm-bound
naive,1,8,1.5,1.25,8192,6.0780634427348845,6.0780634427348845,54.24295250829407,0.014742144782782941,hbm-bound
naive,1,8,1.5,1.25,16384,8.297454553072381,8.297454553072381,55.1757482416274,0.020125205586026998,hbm-bound
naive,2,2,0.5,0.75,2048,7.2640320525064235,7.2640320525064235,6.909393829379116,0.017618672992435993,hbm-bound
naive,2,2,0.5,0.75,4096,8.443126720537153,8.443126720537153,7.08262732271245,0.020478528680433723,hbm-bound
naive,2,2,0.5,0.75,8192,10.63634949690172,10.63634949690172,7.429094309379117,0.02579811904251049,hbm-bound
naive,2,2,0.5,0.75,16384,14.461448110197178,14.461448110197178,8.122028282712451,0.03507577106060963,hbm-bound
naive,2,2,0.5,1.0,2048,7.335283811075643,7.335283811075643,12.007560858155465,0.017791491810592763,hbm-bound
naive,2,2,0.5,1.0,4096,8.633456186198003,8.633456186198003,12.180794351488798,0.020940166596134624,hbm-bound
naive,2,2,0.5,1.0,8192,11.12209011469768,11.12209011469768,12.527261338155466,0.026976267079610344,hbm-bound
naive,2,2,0.5,1.0,16384,15.70803417754352,15.70803417754352,13.2201953114888,0.038099324937952955,hbm-bound
naive,2,2,0.5,1.25,2048,7.368111021051247,7.368111021051247,18.53216780753458,0.017871113138477005,hbm-bound
naive,2,2,0.5,1.25,4096,8.726892119252518,8.726892119252518,18.705401300867916,0.02116679240647402,hbm-bound
naive,2,2,0.5,1.25,8192,11.37032413815303,11.37032413815303,19.051868287534578,0.027578350613003816,hbm-bound
naive,2,2,0.5,1.25,16384,16.378878396819385,16.378878396819385,19.744802260867914,0.039726435727505324,hbm-bound
naive,2,2,1.0,0.75,2048,8.096960475420511,8.096960475420511,7.4752249493791165,0.019638913735229132,hbm-bound
naive,2,2,1.0,0.75,4096,9.440723629231357,9.440723629231357,7.7683893227124505,0.022898167468575294,hbm-bound
naive,2,2,1.0,0.75,8192,11.845336632329303,11.845336632329303,8.354718069379116,0.028730477935917462,hbm-bound
naive,2,2,1.0,0.75,16384,15.766662049924872,15.766662049924872,9.52737556271245,0.0382415249316015,hbm-bound
naive,2,2,1.0,1.0,2048,7.2627088412677745,7.2627088412677745,12.127550298155464,0.01761546358670304,hbm-bound
naive,2,2,1.0,1.0,4096,8.466691098545416,8.466691098545416,12.420714671488797,0.020535683311277413,hbm-bound
naive,2,2,1.0,1.0,8192,10.711837041987186,10.711837041987186,13.007043418155465,0.02598121162280874,hbm-bound
naive,2,2,1.0,1.0,16384,14.6451100120463,14.6451100120463,14.1797009114888,0.03552123701759588,hbm-bound
naive,2,2,1.0,1.25,2048,7.320711918441246,7.320711918441246,18.65215724753458,0.017756148159938347,hbm-bound
naive,2,2,1.0,1.25,4096,8.616376246692704,8.616376246692704,18.945321620867915,0.020898739759537634,hbm-bound
naive,2,2,1.0,1.25,8192,11.091019641982804,11.091019641982804,19.53165036753458,0.026900906660696035,hbm-bound
naive,2,2,1.0,1.25,16384,15.619827398878494,15.619827398878494,20.704307860867914,0.03788538227115552,hbm-bound
naive,2,2,1.5,0.75,2048,9.567652256201672,9.567652256201672,8.486897749379116,0.02320602871640628,hbm-bound
naive,2,2,1.5,0.75,4096,11.28299874948165,11.28299874948165,8.899993002712451,0.027366545728909508,hbm-bound
naive,2,2,1.5,0.75,8192,14.2765614926038,14.2765614926038,9.726183509379116,0.0346273345955019,hbm-bound
naive,2,2,1.5,0.75,16384,18.95952258383584,18.95952258383584,11.37856452271245,0.04598570409419507,hbm-bound
naive,2,2,1.5,1.0,2048,8.606661214678654,8.606661214678654,13.436450884822131,0.020875176266022005,hbm-bound
naive,2,2,1.5,1.0,4096,10.200205165145432,10.200205165145432,13.849546138155466,0.024740265180746877,hbm-bound
naive,2,2,1.5,1.0,8192,13.1181609095757,13.1181609095757,14.675736644822134,0.0318176717362119,hbm-bound
naive,2,2,1.5,1.0,16384,18.068194166029834,18.068194166029834,16.328117658155467,0.04382381606717696,hbm-bound
naive,2,2,1.5,1.25,2048,7.8797303525414435,7.8797303525414435,19.515216154201248,0.01911202915219754,hbm-bound
naive,2,2,1.5,1.25,4096,9.323729264709115,9.323729264709115,19.92831140753458,0.02261440145053247,hbm-bound
naive,2,2,1.5,1.25,8192,12.039279945123322,12.039279945123322,20.75450191420125,0.029200881120056567,hbm-bound
naive,2,2,1.5,1.25,16384,16.869611747833474,16.869611747833474,22.40688292753458,0.0409166934763015,hbm-bound
naive,2,4,0.5,0.75,2048,5.3010565697896,5.3010565697896,11.274884395804934,0.012857539936831775,hbm-bound
naive,2,4,0.5,0.75,4096,6.06023299478988,6.06023299478988,11.448117889138267,0.014698897612426189,hbm-bound
naive,2,4,0.5,0.75,8192,7.511683218435747,7.511683218435747,11.794584875804935,0.01821934282389671,hbm-bound
naive,2,4,0.5,0.75,16384,10.172960205683003,10.172960205683003,12.487518849138269,0.024674183419544422,hbm-bound
naive,2,4,0.5,1.0,2048,5.317427816348952,5.317427816348952,19.766651216245812,0.012897247861786242,hbm-bound
naive,2,4,0.5,1.0,4096,6.127980696295894,6.127980696295894,19.939884709579147,0.014863217454381147,hbm-bound
naive,2,4,0.5,1.0,8192,7.707556591472726,7.707556591472726,20.286351696245813,0.01869442730625017,hbm-bound
naive,2,4,0.5,1.0,16384,10.71019087901929,10.71019087901929,20.979285669579145,0.025977218908182206,hbm-bound
naive,2,4,0.5,1.25,2048,5.322446691158836,5.322446691158836,30.654076092050744,0.01290942097906135,hbm-bound
naive,2,4,0.5,1.25,4096,6.1584237402932835,6.1584237402932835,30.827309585384075,0.014937056065390482,hbm-bound
naive,2,4,0.5,1.25,8192,7.802504560347073,7.802504560347073,31.173776572050745,0.01892472051018997,hbm-bound
naive,2,4,0.5,1.25,16384,10.983415771813906,10.983415771813906,31.866710545384077,0.026639916980650203,hbm-bound
naive,2,4,1.0,0.75,2048,5.920701551052696,5.920701551052696,11.840715515804936,0.014360468643280921,hbm-bound
naive,2,4,1.0,0.75,4096,6.833589845752852,6.833589845752852,12.133879889138269,0.01657464944902157,hbm-bound
naive,2,4,1.0,0.75,8192,8.533129673240724,8.533129673240724,12.720208635804935,0.020696827908820353,hbm-bound
naive,2,4,1.0,0.75,16384,11.501849294067265,11.501849294067265,13.892866129138268,0.027897360591977196,hbm-bound
naive,2,4,1.0,1.0,2048,5.2853442082145765,5.2853442082145765,19.886640656245813,0.012819430115932274,hbm-bound
naive,2,4,1.0,1.0,4096,6.055124338791245,6.055124338791245,20.179805029579146,0.014686506733803928,hbm-bound
naive,2,4,1.0,1.0,8192,7.529480712109734,7.529480712109734,20.766133776245812,0.01826251006474317,hbm-bound
naive,2,4,1.0,1.0,16384,10.241774547453314,10.241774547453314,21.938791269579145,0.02484109036269626,hbm-bound
naive,2,4,1.0,1.25,2048,5.301694236555889,5.301694236555889,30.774065532050745,0.012859086576790434,hbm-bound
naive,2,4,1.0,1.25,4096,6.110864591989215,6.110864591989215,31.067229905384075,0.014821702901237105,hbm-bound
naive,2,4,1.0,1.25,8192,7.68423975769651,7.68423975769651,31.653558652050744,0.018637873085873294,hbm-bound
naive,2,4,1.0,1.25,16384,10.662372100697226,10.662372100697226,32.82621614538408,0.025861236019882102,hbm-bound
naive,2,4,1.5,0.75,2048,7.063156351132597,7.063156351132597,12.852388315804935,0.017131455525738484,hbm-bound
naive,2,4,1.5,0.75,4096,8.291997129746962,8.291997129746962,13.265483569138267,0.020111968783620725,hbm-bound
naive,2,4,1.5,0.75,8192,10.533539018962953,10.533539018962953,14.091674075804933,0.025548755579091552,hbm-bound
naive,2,4,1.5,0.75,16384,14.31085521006851,14.31085521006851,15.744055089138266,0.03471051288950422,hbm-bound
naive,2,4,1.5,1.0,2048,6.259422838645232,6.259422838645232,21.19554124291248,0.015182026086658472,hbm-bound
naive,2,4,1.5,1.0,4096,7.325639742277823,7.325639742277823,21.60863649624581,0.01776810043604525,hbm-bound
naive,2,4,1.5,1.0,8192,9.340279244681938,9.340279244681938,22.43482700291248,0.02265454288755599,hbm-bound
naive,2,4,1.5,1.0,16384,12.954945805378095,12.954945805378095,24.087208016245814,0.03142179882052292,hbm-bound
naive,2,4,1.5,1.25,2048,5.701600896632548,5.701600896632548,31.63712443871741,0.013829047146961206,hbm-bound
naive,2,4,1.5,1.25,4096,6.627530117035379,6.627530117035379,32.05021969205074,0.016074858292961,hbm-bound
naive,2,4,1.5,1.25,8192,8.40958222006406,8.40958222006406,32.876410198717416,0.020397167587825917,hbm-bound
naive,2,4,1.5,1.25,16384,11.717845231878778,11.717845231878778,34.52879121205074,0.02842125169935227,hbm-bound
naive,2,8,0.5,0.75,2048,4.104516800205022,4.104516800205022,19.229129118452533,0.009955371723589745,hbm-bound
naive,2,8,0.5,0.75,4096,4.563142492049881,4.563142492049881,19.40236261178587,0.011067753391530787,hbm-bound
naive,2,8,0.5,0.75,8192,5.45625593976685,5.45625593976685,19.748829598452534,0.013233970950419848,hbm-bound
naive,2,8,0.5,0.75,16384,7.1516586779125975,7.1516586779125975,20.441763571785867,0.01734611503485622,hbm-bound
naive,2,8,0.5,1.0,2048,4.104696322390892,4.104696322390892,33.90396720317487,0.009955807148800549,hbm-bound
naive,2,8,0.5,1.0,4096,4.5851470740869,4.5851470740869,34.07720069650821,0.011121124788083435,hbm-bound
naive,2,8,0.5,1.0,8192,5.53154166969844,5.53154166969844,34.42366768317487,0.013416574034639975,hbm-bound
naive,2,8,0.5,1.0,16384,7.368307020070441,7.368307020070441,35.11660165650821,0.017871588527710012,hbm-bound
naive,2,8,0.5,1.25,2048,4.102554453608567,4.102554453608567,52.740291521627405,0.009950612115877274,hbm-bound
naive,2,8,0.5,1.25,4096,4.593586746134879,4.593586746134879,52.91352501496074,0.011141594937568175,hbm-bound
naive,2,8,0.5,1.25,8192,5.566068538981539,5.566068538981539,53.259992001627396,0.01350031783077887,hbm-bound
naive,2,8,0.5,1.25,16384,7.47356247902352,7.47356247902352,53.952925974960735,0.018126882212891812,hbm-bound
naive,2,8,1.0,0.75,2048,4.509371333143839,4.509371333143839,19.794960238452532,0.010937333198125534,hbm-bound
naive,2,8,1.0,0.75,4096,5.081382353637507,5.081382353637507,20.08812461178587,0.012324727285224877,hbm-bound
naive,2,8,1.0,0.75,8192,6.176737593296072,6.176737593296072,20.674453358452535,0.01498147571895965,hbm-bound
naive,2,8,1.0,0.75,16384,8.191066416700671,8.191066416700671,21.847110851785867,0.019867164628682776,hbm-bound
naive,2,8,1.0,1.0,2048,4.090220633444453,4.090220633444453,34.02395664317487,0.009920696837055775,hbm-bound
naive,2,8,1.0,1.0,4096,4.553091064705088,4.553091064705088,34.3171210165082,0.011043373982104305,hbm-bound
naive,2,8,1.0,1.0,8192,5.4555052152533365,5.4555052152533365,34.903449763174876,0.013232150092580096,hbm-bound
naive,2,8,1.0,1.0,16384,7.172334328282818,7.172334328282818,36.07610725650821,0.017396263150963886,hbm-bound
naive,2,8,1.0,1.25,2048,4.09324191870518,4.09324191870518,52.860280961627396,0.009928024865985279,hbm-bound
naive,2,8,1.0,1.25,4096,4.572852534172977,4.572852534172977,53.153445334960736,0.011091304782228544,hbm-bound
naive,2,8,1.0,1.25,8192,5.516375365039297,5.516375365039297,53.7397740816274,0.013379788656992735,hbm-bound
naive,2,8,1.0,1.25,16384,7.342974106866225,7.342974106866225,54.912431574960735,0.017810144372389026,hbm-bound
naive,2,8,1.5,0.75,2048,5.283695419476497,5.283695419476497,20.806633038452535,0.012815431032585744,hbm-bound
naive,2,8,1.5,0.75,4096,6.086545191532716,6.086545191532716,21.219728291785867,0.014762716988053077,hbm-bound
naive,2,8,1.5,0.75,8192,7.601982197800884,7.601982197800884,22.045918798452533,0.0184383600553028,hbm-bound
naive,2,8,1.5,0.75,16384,10.31586140193984,10.31586140193984,23.698299811785866,0.0250207856135984,hbm-bound
naive,2,8,1.5,1.0,2048,4.718825945174802,4.718825945174802,35.33285722984154,0.011445358533016196,hbm-bound
naive,2,8,1.5,1.0,4096,5.381164059451825,5.381164059451825,35.745952483174875,0.01305183804212671,hbm-bound
naive,2,8,1.5,1.0,8192,6.6609522324409145,6.6609522324409145,36.57214298984154,0.016155922544576245,hbm-bound
